title,first_author,year,journal,sources,id
Enhancing survival of ex-situ reared sexual recruits of Acropora palmata for reef rehabilitation,Schutter,2023,ECOLOGICAL ENGINEERING,WoS,WOS:001044520100001
SHORT-TERM ECOLOGICAL CONSEQUENCES OF A MAJOR OIL-SPILL ON PANAMANIAN SUBTIDAL REEF CORALS,GUZMAN,1991,CORAL REEFS,WoS,WOS:A1991FZ19200001
Effects of multiple perturbations on the survivorship of fragments of three coral species,Dizon,2006,MARINE POLLUTION BULLETIN,WoS,WOS:000240693400020
Caribbean corals house shared and host-specific microbial symbionts over time and space,Chu,2016,ENVIRONMENTAL MICROBIOLOGY REPORTS,WoS,WOS:000379938900009
Pathology of tissue loss (white syndrome) in Acropora sp corals from the Central Pacific,Work,2011,JOURNAL OF INVERTEBRATE PATHOLOGY,WoS,WOS:000290922100005
Friend or foe? A review of the mechanisms that drive Serratia towards diverse lifestyles,Petersen,2013,CANADIAN JOURNAL OF MICROBIOLOGY,WoS,WOS:000324235200006
Evolutionary History Drives Biogeographic Patterns of Coral Reef Resilience,Roff,2021,BIOSCIENCE,WoS,WOS:000609888900007
Pleistocene facies of Belize barrier and atoll reefs,Gischler,2007,FACIES,WoS,WOS:000243905600002
Wild and nursery-raised corals: comparative physiology of two framework coral species,Gantt,2023,CORAL REEFS,WoS,WOS:000907098700002
"LIGHT-ABSORPTION AND UTILIZATION AMONG HERMATYPIC CORALS - A STUDY IN JAMAICA, WEST-INDIES",WYMAN,1987,MARINE BIOLOGY,WoS,WOS:A1987K619700015
Secondary Microplastics Disrupt Early Coral Development: Impacts on Brooding and Broadcast-Spawning Species,García-Galindo,2025,DIVERSITY-BASEL,WoS,WOS:001535760500001
Do reproduction and regeneration in damaged corals compete for energy allocation?,Rinkevich,1996,MARINE ECOLOGY PROGRESS SERIES,WoS,WOS:A1996VW68200028
Ecological condition of coral reef assemblages in the Cuban Archipelago,Aragon,2019,MARINE BIOLOGY RESEARCH,WoS,WOS:000468240800006
Coral populations in a rapidly changing environment,van Woesik,2011,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,WoS,WOS:000298218400003
Ecological solutions to reef degradation: optimizing coral reef restoration in the Caribbean and Western Atlantic,Lirman,2016,PEERJ,WoS,WOS:000385821100010
The microbial profile of a tissue necrosis affecting the Atlantic invasive coral Tubastraea tagusensis,Zanotti,2021,SCIENTIFIC REPORTS,WoS,WOS:000658740400014
"Coral disease outbreak:: pattern, prevalence and transmission in Acropora cervicornis",Williams,2005,MARINE ECOLOGY PROGRESS SERIES,WoS,WOS:000233569700010
"DISTRIBUTION OF SUBMARINE CEMENTS IN A MODERN CARIBBEAN FRINGING REEF, GALETA POINT, PANAMA",MACINTYRE,1977,,WoS,WOS:A1977DM57100001
EFFECTS OF AN UNUSUAL HIGH FREQUENCY PERIOD OF HURRICANES ON BENT OF CORAL REEFS,Alcolado,2009,REVMAR-REVISTA CIENCIAS MARINAS Y COSTERAS,WoS,WOS:000216652400004
"Paleoecology of mangroves along the Sibun River, Belize",Monacci,2011,QUATERNARY RESEARCH,WoS,WOS:000294532700006
AMINO-ACIDS IN FOSSIL CORALS - RACEMIZATION (EPIMERIZATION) REACTIONS AND THEIR IMPLICATIONS FOR DIAGENETIC MODELS AND GEOCHRONOLOGICAL STUDIES,WEHMILLER,1976,GEOCHIMICA ET COSMOCHIMICA ACTA,WoS,WOS:A1976BU51100006
Microbial Community Shifts Associated With the Ongoing Stony Coral Tissue Loss Disease Outbreak on the Florida Reef Tract,Meyer,2019,FRONTIERS IN MICROBIOLOGY,WoS,WOS:000487579900001
Coral Restoration Effectiveness: Multiregional Snapshots of the Long-Term Responses of Coral Assemblages to Restoration,Hein,2020,DIVERSITY-BASEL,WoS,WOS:000533906300027
THE INCIDENCE OF HURRICANES ON THE NORTH COAST OF JAMAICA SINCE 1870 - ARE THE CLASSIC REEF DESCRIPTIONS ATYPICAL,WOODLEY,1992,HYDROBIOLOGIA,WoS,WOS:A1992KJ25300015
"Host use of the elkhorn coral crab Domecia acanthophora (Brachyura : Domeciidae), with a phylogeny of the genus",Van der Meij,2022,CAHIERS DE BIOLOGIE MARINE,WoS,WOS:000865443900005
Sewage pollution: mitigation is key for coral reef stewardship,Wear,2015,YEAR IN ECOLOGY AND CONSERVATION BIOLOGY,WoS,WOS:000369996800002
"Distribution and structure of the southernmost Caribbean coral reefs:: Golfo de Uraba, Colombia",Díaz,2000,SCIENTIA MARINA,WoS,WOS:000089282700009
Interactions in the canopy among Caribbean reef octocorals,Gambrel,2016,MARINE ECOLOGY PROGRESS SERIES,WoS,WOS:000374240800007
Reef -scale trends in Florida Acropora spp. abundance and the effects of population enhancement,Miller,2016,PEERJ,WoS,WOS:000385572500003
Climate-modulated range expansion of reef-building coral communities off southeast Florida during the late Holocene,Modys,2022,FRONTIERS IN MARINE SCIENCE,WoS,WOS:000905553400001
"Disease Prevalence and Snail Predation Associated with Swell-Generated Damage on the Threatened Coral, Acropora palmata (Lamarck)",Bright,2016,FRONTIERS IN MARINE SCIENCE,WoS,WOS:000457358000076
A quantitative assessment of the status of benthic communities on US Atlantic coral reefs using a novel standardized approach,Viehman,2024,BULLETIN OF MARINE SCIENCE,WoS,WOS:001247148000009
Changes in Caribbean coral disease prevalence after the 2005 bleaching event,Cróquer,2005,DISEASES OF AQUATIC ORGANISMS,WoS,WOS:000272675600004
Fire coral clones demonstrate phenotypic plasticity among reef habitats,Dubé,2017,MOLECULAR ECOLOGY,WoS,WOS:000406361200003
Caribbean acroporid coral hybrids are viable across life history stages,Fogarty,2012,MARINE ECOLOGY PROGRESS SERIES,WoS,WOS:000301323600011
"Settling into an Increasingly Hostile World: The Rapidly Closing ""Recruitment Window"" for Corals",Arnold,2011,PLOS ONE,WoS,WOS:000298369100076
Reduced diversity and stability of coral-associated bacterial communities and suppressed immune function precedes disease onset in corals,Pollock,2019,ROYAL SOCIETY OPEN SCIENCE,WoS,WOS:000473797400034
Growth modelling indicates hurricanes and severe storms are linked to low coral recruitment in the Caribbean,Crabbe,2008,MARINE ENVIRONMENTAL RESEARCH,WoS,WOS:000254785800008
MIGRATING HAEMULID FISHES AS A SOURCE OF NUTRIENTS AND ORGANIC-MATTER ON CORAL REEFS,MEYER,1985,LIMNOLOGY AND OCEANOGRAPHY,WoS,WOS:A1985ACJ5400012
Genomic Variants Among Threatened Acropora Corals,Kitchen,2019,G3-GENES GENOMES GENETICS,WoS,WOS:000467271400032
Histopathology of crustose coralline algae affected by white band and white patch diseases,Quéré,2015,PEERJ,WoS,WOS:000357321300002
Effect of Various Local Anthropogenic Impacts on the Diversity of Coral Mucus-Associated Bacterial Communities,Hussein,2022,JOURNAL OF MARINE SCIENCE AND ENGINEERING,WoS,WOS:000831683800001
Adding insult to injury: Ship groundings are associated with coral disease in a pristine reef,Raymundo,2018,PLOS ONE,WoS,WOS:000444683000044
Assimilating the ICE-6G_C Reconstruction of the Latest Quaternary Ice Age Cycle Into Numerical Simulations of the Laurentide and Fennoscandian Ice Sheets,Stuhne,2017,JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,WoS,WOS:000419994700003
"Geomorphology of the southeast Florida continental reef tract (Miami-Dade, Broward, and Palm Beach Counties, USA)",Banks,2007,CORAL REEFS,WoS,WOS:000248832400024
Dynamics and patterns of algal colonization on mechanically damaged and dead colonies of the coral Porites lutea,Titlyanov,2008,BOTANICA MARINA,WoS,WOS:000259002600006
"MARINE OXYGEN ISOTOPE RECORD IN PLEISTOCENE CORAL, BARBADOS, WEST-INDIES",FAIRBANKS,1978,QUATERNARY RESEARCH,WoS,WOS:A1978FW00100004
"Coral Microbiomes and Biofilms: Ecological Features, Response to Microbial Infections, and Conservation Strategies",Ravichandran,2025,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,WoS,WOS:001562415600010
The Long and Winding Road of Coral Reef Recovery in the Anthropocene: A Case Study from Puerto Rico,Hernández-Delgado,2022,DIVERSITY-BASEL,WoS,WOS:000872742200001
Composite Substrates Reveal Inorganic Material Cues for Coral Larval Settlement,Levenstein,2022,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,WoS,WOS:000788853100016
Spatial and Species Variations in Bacterial Communities Associated with Corals from the Red Sea as Revealed by Pyrosequencing,Lee,2012,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,WoS,WOS:000309328700001
Early life history of the Caribbean coral Orbicella faveolata (Scleractinia: Merulinidae),Alvarado-Chacón,2020,REVISTA DE BIOLOGIA TROPICAL,WoS,WOS:000577180700021
Microbial Communities of Red Sea Coral Reefs,Neave,2019,,WoS,WOS:000486991000005
Natural lesions and regeneration of ramets of Montastraea annularis (Scleractinia: Faviidae) in a degraded reef of the Colombian Caribbean,Alvarado,2009,REVISTA DE BIOLOGIA TROPICAL,WoS,WOS:000272168100004
"Experimental studies on microbial bioerosion at Lee Stocking Island, Bahamas and One Tree Island, Great Barrier Reef, Australia: implications for paleoecological reconstructions",Vogel,2000,LETHAIA,WoS,WOS:000166704600005
Coral disease prevalence in the Banco Chinchorro biosphere reserve (Mexico) after hurricane dean event,Madrigal-González,2025,MARINE BIOLOGY,WoS,WOS:001522735700001
A comparison of in situ and on-vessel larval rearing for coral seeding,Randall,2025,RESTORATION ECOLOGY,WoS,WOS:001423253900001
"Deciphering Coral Disease Dynamics: Integrating Host, Microbiome, and the Changing Environment",Thurber,2020,FRONTIERS IN ECOLOGY AND EVOLUTION,WoS,WOS:000598133900001
"Calcite raft geochemistry as a hydrological proxy for Holocene aquifer conditions in Hoyo Negro and Ich Balam (Sac Actun Cave System), Quintana Roo, Mexico",Kovacs,2017,QUATERNARY SCIENCE REVIEWS,WoS,WOS:000415909900006
Depth-related and species-related patterns of Holocene reef accretion in the Caribbean and western Atlantic: a critical assessment of existing models,Hubbard,2009,,WoS,WOS:000290183800001
Degradation of marine ecosystems and decline of fishery resources in marine protected areas in the US Virgin Islands,Rogers,2001,ENVIRONMENTAL CONSERVATION,WoS,WOS:000174843100004
Early Holocene transgressive palaeogeography in the Po coastal plain (northern Italy),Bruno,2017,SEDIMENTOLOGY,WoS,WOS:000414943800002
"Temporal variability and impact of coral diseases and bleaching in La Parguera, Puerto Rico from 2003-2007",Weil,2003,CARIBBEAN JOURNAL OF SCIENCE,WoS,WOS:000207836900009
Frequent disturbances and chronic pressures constrain stony coral recovery on Florida's Coral Reef,Jones,2022,CORAL REEFS,WoS,WOS:000870663300001
The recent collapse of a rapid phase-shift reversal on a Jamaican north coast coral reef after the 2005 bleaching event,Quinn,2005,REVISTA DE BIOLOGIA TROPICAL,WoS,WOS:000266642200011
"Syn-depositional alteration of coral reef framework through bioerosion, encrustation and cementation: Taphonomic signatures of reef accretion and reef depositional events",Perry,2008,EARTH-SCIENCE REVIEWS,WoS,WOS:000252555200006
"Black-band disease dynamics: Prevalence, incidence, and acclimatization to light",Muller,2011,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,WoS,WOS:000287113400008
Coral Reef Restoration Techniques and Management Strategies in the Caribbean and Western Atlantic: A Quantitative Literature Review,Hodges,2025,DIVERSITY-BASEL,WoS,WOS:001515630500001
Partial mortality in three species of reef-building corals and the relation with colony morphology,Meesters,1996,BULLETIN OF MARINE SCIENCE,WoS,WOS:A1996UP20500017
Growth dynamics in Acropora cervicornis and A. prolifera in southwest Puerto Rico,Weil,2020,PEERJ,WoS,WOS:000512761400003
A data-calibrated distribution of deglacial chronologies for the North American ice complex from glaciological modeling,Tarasov,2012,EARTH AND PLANETARY SCIENCE LETTERS,WoS,WOS:000300968600006
Stability of Reef-Coral Assemblages in the Quaternary,Precht,2016,,WoS,WOS:000388077200008
"River Streamflow, Remotely Sensed Water Quality, and Benthic Composition of Previously Undescribed Nearshore Coral Reefs in Northern Puerto Rico",Torres-Pérez,2021,FRONTIERS IN MARINE SCIENCE,WoS,WOS:000709788200001
"Ecology of a corallivorous gastropod, Coralliophila abbreviata, on two scleractinian hosts. 1: Population structure of snails and corals",Baums,2003,MARINE BIOLOGY,WoS,WOS:000184344200005
Multi-stage reef development on Barbados during the Last Interglaciation,Blanchon,2001,QUATERNARY SCIENCE REVIEWS,WoS,WOS:000168317600003
"Evolution of marine terraces and sea level in the last interglacial, Cave Hill, Barbados",Speed,2004,GEOLOGICAL SOCIETY OF AMERICA BULLETIN,WoS,WOS:000188249100015
